crop,state,season,rainfall_mm,temperature_c,humidity_percent,soil_ph,soil_nitrogen,soil_phosphorus,soil_potassium,soil_moisture,solar_radiation,ndvi,irrigation_level,yield_t_per_ha,yield_kg_per_ha,crop_extinction_risk
barley,Punjab,Rabi,944.9112548270225,21.85399733632068,84.52089245062928,6.299435680841954,81.37571665134098,75.83591684824886,75.04188017349622,18.8184613846014,21.65857900653444,0.47887650907481255,0.5926322547698237,14.287173880848345,14287.173880848344,Low Risk
soybean,Punjab,Zaid,1038.0050759512164,23.648281772504646,69.67071343790032,5.946082213324398,83.78212730165524,41.800145255420105,109.47463725835193,59.77503422072332,26.715111837054675,0.4050471365291071,0.26243476283410505,15.223094809577855,15223.094809577855,Low Risk
sugarcane,Uttar Pradesh,Zaid,412.94052648008346,32.643196470909,56.36657187375677,6.286211208592744,36.57179221952188,26.80908269454306,148.13352424732005,16.879211670089763,11.031383469844531,0.3728705198143813,0.48369724040808537,7.858693501429321,7858.693501429321,Low Risk
barley,Karnataka,Kharif,305.44943423635766,29.61545879109719,60.96766861949379,5.517767902547519,73.87353079741996,76.02406199514665,99.59872243873005,49.32024169055386,17.304681129388154,0.7934676576700073,0.7717776093313609,14.85676717196876,14856.76717196876,Low Risk
maize,Karnataka,Kharif,715.0849427176344,17.337171582834486,64.82409655368019,6.473422863192768,57.792273512122286,13.792931586467532,45.27379531371928,15.214073817435205,23.18561947615145,0.29905603793619506,0.4195311040329083,9.833076153518803,9833.076153518803,Low Risk
millet,Uttar Pradesh,Zaid,972.1756842822425,39.329562962650996,87.2394482726061,6.129008789240922,31.049536956717976,31.81183169402104,22.252309028111082,41.2018089011475,15.755402586230183,0.25058151466521533,0.768254628397097,3.0883415298792674,3088.3415298792675,Low Risk
sugarcane,Maharashtra,Rabi,837.7806523184976,16.23342307397213,88.15003200935351,7.317091827214467,32.80626629101276,67.21347594927832,59.46450100267004,37.70428234772959,28.17848247714465,0.2974904059758318,0.27676110200928605,5.955884421929162,5955.884421929162,Low Risk
sugarcane,Madhya Pradesh,Zaid,831.059331518171,17.073489307041594,80.8399756768115,7.0520683817561105,84.53434149104169,20.775551838383425,75.62133855118532,59.935148826048845,25.445506167003835,0.545983743478293,0.4307873915656194,8.94164093142747,8941.64093142747,Low Risk
barley,Punjab,Kharif,957.0960836883198,32.53465121852834,65.0237224001315,5.559764436782527,115.72206372490514,15.885868538763978,100.95447597191331,35.9108251976741,17.4360728803359,0.8537652422041428,0.2958389101652289,16.184992148221973,16184.992148221972,Low Risk
wheat,Punjab,Kharif,427.020825553512,32.70045348577058,53.44406845469649,5.831859843216825,30.629974639129557,42.06047125640599,45.31241444048288,41.68546125680314,12.999313117291498,0.3021845127509763,0.9891827356734094,8.56468637039989,8564.68637039989,Low Risk
maize,Uttar Pradesh,Zaid,861.5192818109894,15.473388330669296,43.816795001152556,6.747040079822419,69.48904330958976,33.22399974932938,30.90150536942501,46.02418849060386,23.407798026127004,0.8361328719049894,0.8360714792099883,11.448203725695631,11448.203725695632,Low Risk
barley,Uttar Pradesh,Rabi,592.1106691353573,31.06884748658995,62.06735162032443,6.92162376051316,44.79264277334131,65.80115051091151,49.0770064711014,46.276529967506896,24.389611761600072,0.8205587479039476,0.24601980226528153,9.756613240373284,9756.613240373284,Low Risk
maize,Maharashtra,Rabi,269.7534853203392,15.831500369411412,50.73785357883709,7.26842292737764,48.16082313188792,33.60012684061637,89.47561890075056,41.885209442615775,15.46800934499929,0.504166254780348,0.18509013434581023,7.472303116559571,7472.303116559571,Low Risk
maize,Tamil Nadu,Kharif,402.14260624338533,39.01924984725068,34.36466985846729,7.727057158343284,42.44542666649705,56.88775692148398,36.93152479372942,49.23161183081279,11.77694169611434,0.8597427405137201,0.623018492859875,12.930237333601191,12930.237333601191,Low Risk
millet,Karnataka,Zaid,994.0037392048926,32.40356484582338,58.57324550308536,7.114415362759638,74.56914800542154,49.21360393962843,39.95320940462525,46.60854564347219,12.66302947038178,0.4931131289566501,0.19957257258831362,12.523970039720865,12523.970039720865,Low Risk
